EVB_Promed,Date,Pays,Localisation,Total,Confirmed,Probable,Suspected,Death,DCD_Confirmed,DCD_Probable,DCD_suspected,HCW_case,HCW_dcd
,2014-03-24,Guinea,,86,,,,59,,,,,
,2014-03-25,Guinea,,90,,,,60,,,,,
,2014-03-28,Guinea,,112,,,,70,,,,,
,2014-03-29,Liberia,,2,,,,2,,,,,
,2014-03-31,Guinea,,122,24,78,22,80,13,67,0,,
,2014-03-31,Liberia,,8,2,,,2,1,1,0,,
72,2014-06-22,Guinea,,390,258,88,44,267,,,,,
72,2014-06-22,Sierra Leone,,136,103,19,14,58,,,,,
72,2014-06-22,Liberia,,41,24,9,8,25,,,,,
77,2014-06-30,Guinea,,413,293,88,32,303,193,82,28,,
77,2014-06-30,Liberia,,107,52,21,34,65,33,17,15,,
77,2014-06-30,Sierra Leone,,239,199,31,9,99,65,29,5,,
80,2014-07-03,Guinea,,412,292,100,20,305,194,94,17,,
80,2014-07-03,Sierra Leone,,252,211,35,6,101,67,29,5,,
80,2014-07-03,Liberia,,115,54,24,37,75,38,22,15,,
84,2014-07-06,Guinea,,408,294,96,18,307,195,96,16,,
84,2014-07-06,Liberia,,131,63,30,38,84,41,28,15,,
84,2014-07-06,Sierra Leone,,305,269,34,2,127,114,11,2,,
86,2014-07-08,Guinea,,409,296,96,16,309,197,96,16,,
86,2014-07-08,Liberia,,142,70,32,40,88,44,28,16,,
86,2014-07-08,Sierra Leone,,337,298,34,5,142,127,11,4,,
89,2014-07-12,Guinea,,406,297,92,17,304,198,92,14,,
89,2014-07-12,Liberia,,172,70,41,61,105,48,33,24,,
89,2014-07-12,Sierra Leone,,386,339,37,10,194,151,38,5,,
91,2014-07-14,Guinea,,411,301,95,15,310,203,95,12,,
91,2014-07-14,Liberia,,174,70,42,62,106,51,34,21,,
91,2014-07-14,Sierra Leone,,397,346,39,12,197,153,39,5,,
92,2014-07-18,Guinea,,410,301,95,14,310,203,95,12,,
92,2014-07-18,Liberia,,196,76,56,64,116,54,40,22,,
92,2014-07-18,Sierra Leone,,442,368,48,26,206,165,35,6,,
,2014-07-20,Guinea,,415,304,98,13,314,204,98,12,,
,2014-07-20,Liberia,,224,77,68,79,127,56,44,27,,
,2014-07-20,Sierra Leone,,454,405,35,14,219,182,32,5,,
,2014-07-23,Guinea,,427,311,99,17,319,208,99,12,,
,2014-07-23,Liberia,,249,84,84,81,129,60,50,19,,
,2014-07-23,Sierra Leone,,525,419,56,50,224,188,33,3,,
,2014-07-27,Guinea,,460,336,109,15,339,218,109,12,,
,2014-07-27,Liberia,,329,100,128,101,156,72,62,22,,
,2014-07-27,Sierra Leone,,533,473,38,22,233,195,33,5,,
,2014-07-27,Nigéria,,1,0,1,0,1,0,1,0,,
,2014-07-30,Guinea,,472,337,122,13,346,220,122,4,,
,2014-07-30,Liberia,,391,109,181,101,227,103,88,36,,
,2014-07-30,Sierra Leone,,574,507,41,26,252,209,34,9,,
,2014-07-30,Nigéria,,3,0,1,2,1,0,1,0,,
,2014-08-04,Guinea,,495,351,133,11,363,228,133,2,,
,2014-08-04,Liberia,,516,143,252,121,282,128,110,44,,
,2014-08-04,Nigéria,,9,0,2,7,1,0,1,0,,
,2014-08-04,Sierra Leone,,691,576,49,66,286,247,34,5,,
,2014-08-06,Guinea,,495,355,133,7,367,231,133,3,,
,2014-08-06,Liberia,,554,148,274,132,294,132,117,45,,
,2014-08-06,Nigéria,,13,0,7,6,2,0,2,0,,
,2014-08-06,Sierra Leone,,717,631,38,48,298,259,34,5,,
,2014-08-09,Guinea,,506,362,133,11,373,238,133,2,,
,2014-08-09,Liberia,,599,158,306,135,323,146,125,52,,
,2014-08-09,Nigéria,,13,0,10,3,2,0,2,0,,
,2014-08-09,Sierra Leone,,730,656,37,37,315,276,34,5,,
,2014-08-11,Guinea,,510,369,133,8,377,242,133,5,,
,2014-08-11,Liberia,,670,166,358,146,355,149,153,53,,
,2014-08-11,Nigéria,,12,10,0,2,3,0,3,0,,
,2014-08-11,Sierra Leone,,783,706,38,39,334,295,34,5,,
,2014-08-13,Guinea,,519,376,133,10,380,245,133,2,,
,2014-08-13,Liberia,,786,190,423,173,413,154,190,69,,
,2014-08-13,Nigéria,,12,11,0,1,4,4,0,0,,
,2014-08-13,Sierra Leone,,810,733,38,39,348,309,34,5,,
