"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","LOCATION (CODE)","LOCATION (DISPLAY)","LOCATION (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EBOLA_DATA_SOURCE (CODE)","EBOLA_DATA_SOURCE (DISPLAY)","EBOLA_DATA_SOURCE (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W01","30 December 2013 to 05 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W01","30 December 2013 to 05 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W02","06 to 12 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W02","06 to 12 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W03","13 to 19 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W03","13 to 19 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W04","20 to 26 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W04","20 to 26 January 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W05","27 January to 02 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W05","27 January to 02 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W06","03 to 09 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W06","03 to 09 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W07","10 to 16 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W07","10 to 16 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
"GIN","Guinea","","GN001002001000000000","CONAKRY","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W08","17 to 23 February 2014","","SITREP_NEW","New","","2014-12-03","Data package 2014-12-03","","","","","",""
